uk,geo_name,geo_network,province_tr,district_tr,erdogan,kilicdaroglu
relation_1811393,Kecioren,TR06-districts,Ankara,Keçiören,332145,263761
relation_1811128,Kizilcahamam,TR06-districts,Ankara,Kızılcahamam,13970,5669
relation_1812319,Mamak,TR06-districts,Ankara,Mamak,216247,218254
relation_1738279,Nallihan,TR06-districts,Ankara,Nallıhan,10891,7791
relation_1799855,Polatli,TR06-districts,Ankara,Polatlı,43667,35329
relation_1811454,Pursaklar,TR06-districts,Ankara,Pursaklar,74551,26287
relation_1713916,Sereflikochisar,TR06-districts,Ankara,Şereflikoçhisar,11811,8127
relation_1811046,Sincan,TR06-districts,Ankara,Sincan,230875,124588
relation_1812356,Yenimahalle,TR06-districts,Ankara,Yenimahalle,195377,271141
relation_1726997,Akseki,TR07-districts,Antalya,Akseki,4423,3079
relation_1727534,Aksu,TR07-districts,Antalya,Aksu,23020,24114
relation_1726977,Alanya,TR07-districts,Antalya,Alanya,90474,100811
relation_1727262,Demre,TR07-districts,Antalya,Demre,9477,9235
relation_1727454,Dosemealti,TR07-districts,Antalya,Döşemealtı,23567,25905
relation_1727263,Elmali,TR07-districts,Antalya,Elmalı,14612,12542
relation_1727264,Finike,TR07-districts,Antalya,Finike,16197,16174
relation_1443174,Gazipasa,TR07-districts,Antalya,Gazipaşa,15877,20301
relation_1726981,Gundogmus,TR07-districts,Antalya,Gündoğmuş,2880,2217
relation_1726998,Ibradi,TR07-districts,Antalya,İbradı,1048,1073
relation_1727265,Kas,TR07-districts,Antalya,Kaş,18459,22377
relation_1727292,Kemer,TR07-districts,Antalya,Kemer,11921,15681
relation_1727470,Kepez,TR07-districts,Antalya,Kepez,168574,199946
relation_1727384,Konyaalti,TR07-districts,Antalya,Konyaaltı,29945,79955
relation_1727032,Korkuteli,TR07-districts,Antalya,Korkuteli,21815,16429
relation_1727186,Kumluca,TR07-districts,Antalya,Kumluca,25649,23035
relation_1726993,Manavgat,TR07-districts,Antalya,Manavgat,72596,82243
relation_1727535,Muratpasa,TR07-districts,Antalya,Muratpaşa,100757,223977
relation_1727536,Serik,TR07-districts,Antalya,Serik,37884,47613
relation_1649770,Cildir,TR75-districts,Ardahan,Çıldır,2680,2464
relation_1651535,Damal,TR75-districts,Ardahan,Damal,171,3209
relation_1651532,Gole,TR75-districts,Ardahan,Göle,5981,6635
relation_1651533,Hanak,TR75-districts,Ardahan,Hanak,1777,3544
relation_1651536,Ardahan merkez,TR75-districts,Ardahan,Merkez,9130,13397
relation_1651534,Posof,TR75-districts,Ardahan,Posof,2758,1408
relation_1838462,Ardanuc,TR08-districts,Artvin,Ardanuç,3041,4652
relation_1838463,Arhavi,TR08-districts,Artvin,Arhavi,7974,6518
relation_1838465,Borcka,TR08-districts,Artvin,Borçka,9579,5340
relation_1596278,Hopa,TR08-districts,Artvin,Hopa,7019,11453
relation_8101358,Kemalpasa,TR08-districts,Artvin,Kemalpaşa,1994,4421
relation_1838464,Artvin Merkez,TR08-districts,Artvin,Merkez,10601,11482
relation_1838466,Murgul,TR08-districts,Artvin,Murgul,1980,1922
relation_1838467,Savsat,TR08-districts,Artvin,Şavşat,5515,6806
relation_1385155,Yusufeli,TR08-districts,Artvin,Yusufeli,9605,3239
relation_1813255,Bozdogan,TR09-districts,Aydın,Bozdoğan,11317,10936
relation_1246169,Buharkent,TR09-districts,Aydın,Buharkent,3994,4730
relation_1812967,Cine,TR09-districts,Aydın,Çine,16267,18570
relation_1814655,Didim,TR09-districts,Aydın,Didim,16994,45638
relation_1814654,Efeler,TR09-districts,Aydın,Efeler,75483,120615
relation_1812965,Germencik,TR09-districts,Aydın,Germencik,11841,16996
relation_1814657,Incirliova,TR09-districts,Aydın,İncirliova,17213,17884
relation_1701079,Karacasu,TR09-districts,Aydın,Karacasu,5932,6344
relation_1622039,Karpuzlu,TR09-districts,Aydın,Karpuzlu,4744,2861
relation_1812966,Kocarli,TR09-districts,Aydın,Koçarlı,9168,6983
relation_1813052,Kosk,TR09-districts,Aydın,Köşk,12174,6565
